day,fair
30-03-2018,94
15-05-2020,164
15-02-2018,127
02-03-2019,290
06-03-2020,436
05-03-2019,104
04-05-2018,97
08-06-2019,222
28-01-2020,351
14-03-2018,178
15-04-2019,365
19-05-2018,238
23-02-2019,266
11-03-2018,247
13-04-2019,377
06-03-2018,384
22-10-2019,194
10-10-2018,230
22-05-2020,284
21-09-2020,257
13-11-2019,489
27-05-2018,439
05-02-2020,147
22-11-2019,463
15-09-2020,304
29-04-2020,477
06-02-2020,295
23-10-2020,395
22-04-2018,184
20-10-2018,229
09-01-2020,464
29-07-2020,234
23-04-2020,435
30-04-2020,468
30-11-2019,409
11-03-2019,139
19-01-2018,267
17-07-2018,239
08-07-2019,83
19-07-2020,425
15-06-2018,402
27-05-2020,391
22-10-2019,465
20-04-2019,310
30-09-2018,238
19-01-2019,201
09-04-2020,105
12-06-2020,94
11-07-2019,79
16-05-2020,363
02-10-2019,363
13-10-2020,135
08-02-2020,77
28-12-2018,52
07-09-2018,116
29-07-2020,119
13-03-2020,162
03-10-2020,465
07-11-2018,162
13-08-2018,238
13-02-2020,250
14-02-2019,333
20-05-2019,243
13-07-2018,332
03-07-2019,135
27-01-2019,90
21-10-2019,156
14-07-2019,402
05-05-2020,219
28-04-2018,136
16-01-2019,158
24-02-2019,322
18-08-2018,380
23-05-2018,93
06-11-2018,118
09-10-2020,237
19-12-2020,451
19-04-2018,490
01-06-2018,343
26-09-2019,104
07-07-2018,85
11-03-2018,60
20-03-2020,145
13-08-2018,383
20-10-2018,438
29-06-2019,384
05-09-2020,203
29-12-2020,466
19-07-2019,446
25-08-2020,364
09-12-2018,281
15-03-2020,130
18-07-2018,332
11-12-2018,368
21-12-2019,183
11-01-2020,217
01-05-2019,93
11-02-2020,88
28-06-2020,78
18-10-2018,162
29-01-2020,206
15-05-2018,277
30-03-2019,271
08-02-2019,422
17-05-2020,90
15-01-2019,370
11-04-2020,347
16-01-2018,307
10-02-2020,225
26-09-2019,64
28-04-2018,60
21-08-2019,467
05-03-2020,50
30-01-2019,102
13-08-2020,233
18-07-2018,358
16-12-2019,411
03-01-2019,165
23-07-2018,386
28-04-2020,69
09-09-2019,484
24-02-2018,492
22-06-2019,377
09-06-2018,72
26-11-2020,175
19-02-2019,104
25-09-2019,132
21-11-2018,359
17-08-2019,180
20-10-2020,321
06-12-2019,418
31-08-2019,65
12-10-2018,428
29-08-2018,269
09-03-2018,211
18-10-2019,404
12-09-2019,400
25-02-2020,106
22-11-2020,246
24-01-2020,89
14-11-2018,56
25-07-2019,212
13-11-2018,337
26-01-2020,231
23-06-2020,241
03-06-2018,272
03-02-2020,128
11-11-2018,422
23-03-2018,128
21-12-2018,337
16-07-2019,92
13-11-2019,311
26-05-2018,343
08-07-2018,70
05-02-2019,373
31-01-2018,465
08-05-2019,50
07-09-2018,346
13-08-2018,313
17-12-2020,390
14-12-2018,265
02-03-2020,289
23-11-2020,342
15-01-2018,257
15-03-2019,368
12-08-2018,86
18-07-2019,148
22-01-2018,168
29-01-2020,434
10-10-2020,212
05-02-2020,227
17-08-2018,397
09-10-2020,438
02-09-2020,454
06-03-2019,69
23-11-2020,92
31-05-2018,311
20-09-2018,426
29-11-2018,101
26-09-2018,428
01-03-2018,424
15-02-2018,144
12-10-2020,124
27-08-2018,205
12-11-2018,335
23-01-2020,122
04-02-2019,450
17-03-2020,342
02-12-2018,54
26-05-2018,328
10-05-2020,173
06-11-2020,499
27-09-2020,389
05-02-2018,185
30-10-2018,410
15-02-2019,133
27-08-2018,315
12-04-2018,485
27-09-2019,59
04-11-2019,381
08-07-2018,476
03-05-2020,60
29-04-2020,280
05-08-2019,330
20-06-2019,145
24-01-2018,386
22-01-2018,121
24-02-2019,239
09-07-2020,327
17-11-2020,405
30-10-2018,55
10-01-2018,491
16-06-2018,350
14-02-2019,98
26-11-2019,481
23-08-2018,243
25-10-2018,451
02-06-2019,186
08-03-2020,396
26-05-2018,132
02-11-2018,370
13-07-2019,149
17-03-2018,147
17-09-2019,91
28-07-2020,391
09-06-2018,151
26-06-2018,371
21-10-2020,406
16-03-2019,310
20-11-2018,246
18-10-2018,109
02-04-2018,153
24-07-2019,133
30-01-2020,292
11-08-2018,158
16-06-2018,484
17-10-2020,228
20-06-2019,263
05-03-2018,399
16-05-2020,171
09-10-2019,244
16-11-2018,439
13-11-2020,286
23-12-2018,461
18-11-2019,301
18-06-2020,50
14-10-2019,127
07-06-2019,367
22-04-2018,451
18-11-2020,161
25-01-2020,355
26-04-2019,495
05-02-2018,249
27-05-2020,475
09-01-2018,191
13-05-2020,115
04-07-2020,109
08-07-2020,347
06-12-2019,173
19-09-2020,261
19-05-2019,169
20-09-2019,217
24-07-2018,122
29-04-2020,251
02-07-2019,230
23-12-2020,103
07-02-2020,111
31-05-2019,229
28-02-2020,207
05-06-2019,157
05-04-2018,383
17-03-2019,60
10-04-2018,216
19-08-2019,144
05-01-2019,259
09-04-2018,431
20-12-2020,418
07-01-2019,455
18-11-2018,93
07-06-2018,297
19-04-2019,162
20-04-2020,477
15-01-2018,283
01-11-2019,434
19-01-2018,396
19-12-2018,483
12-05-2018,110
09-05-2019,188
01-11-2018,68
31-10-2019,309
21-08-2020,339
02-12-2018,206
09-07-2019,327
17-10-2018,116
12-04-2019,204
27-10-2019,446
17-06-2019,490
04-03-2020,180
17-02-2019,329
04-11-2020,333
10-12-2019,296
28-08-2019,206
03-09-2020,293
16-12-2018,414
05-04-2018,324
13-06-2019,260
24-08-2018,339
29-01-2019,387
22-12-2019,145
04-09-2020,327
24-03-2020,315
07-06-2019,324
10-04-2020,470
23-05-2020,107
26-08-2019,311
01-07-2019,336
03-05-2018,327
28-06-2020,247
11-11-2018,123
14-03-2020,182
15-01-2020,448
22-10-2020,495
27-11-2019,72
17-09-2020,173
23-09-2018,283
31-03-2020,235
29-07-2019,228
13-10-2019,151
22-06-2019,298
17-04-2018,388
13-04-2019,406
10-10-2019,216
26-09-2020,448
20-09-2020,433
04-10-2018,395
07-12-2019,484
16-09-2020,421
25-04-2020,313
02-10-2019,434
28-09-2019,388
12-12-2020,421
28-03-2020,246
18-01-2019,58
25-08-2018,263
28-07-2018,436
28-08-2019,433
26-07-2020,172
09-05-2019,150
14-06-2019,127
21-08-2018,464
09-06-2020,265
01-08-2020,245
21-03-2018,477
10-08-2019,136
02-02-2020,93
26-12-2018,356
21-01-2018,216
18-07-2018,100
10-12-2018,405
03-12-2019,290
11-05-2020,81
16-12-2018,315
08-09-2018,184
12-03-2020,169
27-04-2020,251
22-12-2020,429
08-05-2020,245
01-06-2018,119
18-11-2018,214
25-08-2019,284
06-10-2018,336
28-02-2019,314
22-10-2019,244
22-02-2018,195
21-09-2020,494
19-10-2019,478
27-12-2020,417
21-10-2020,122
27-03-2020,101
05-06-2018,131
18-06-2018,179
23-02-2019,95
04-12-2018,81
17-01-2020,435
21-12-2020,353
25-03-2020,238
14-03-2019,428
31-05-2019,418
12-11-2018,497
08-11-2020,445
11-10-2018,255
02-02-2018,72
21-09-2018,241
02-12-2018,472
19-09-2020,233
13-06-2019,297
01-01-2019,312
11-08-2018,379
09-07-2020,61
25-11-2018,442
01-07-2018,287
12-08-2019,50
19-12-2020,367
31-01-2019,58
10-11-2019,80
07-07-2019,224
19-03-2020,61
27-09-2020,384
08-08-2019,289
27-05-2018,117
24-10-2018,159
27-01-2018,264
20-06-2019,478
15-02-2019,397
15-12-2020,116
19-10-2018,494
17-01-2020,276
04-05-2018,289
19-12-2020,281
25-04-2019,301
11-06-2019,299
24-03-2020,237
21-06-2019,324
06-07-2020,348
25-05-2019,298
02-09-2019,420
01-07-2020,286
23-11-2018,325
15-08-2020,397
28-04-2018,278
12-04-2020,133
24-06-2020,308
27-07-2019,118
02-07-2018,173
02-08-2019,376
24-01-2020,127
26-08-2018,182
27-04-2018,133
02-03-2020,202
15-11-2019,484
03-05-2020,112
10-12-2018,281
11-08-2018,361
23-03-2020,175
13-02-2019,251
27-03-2020,278
02-11-2018,378
11-04-2018,123
18-11-2020,310
11-12-2019,287
13-01-2020,349
13-05-2020,83
29-09-2018,87
28-05-2018,272
14-01-2018,367
28-05-2020,135
29-12-2020,156
04-05-2018,178
03-02-2020,63
01-12-2019,97
18-10-2019,176
21-10-2020,486
12-12-2020,307
06-07-2020,246
25-01-2019,463
21-11-2020,137
07-02-2019,267
25-11-2018,469
03-06-2018,343
18-04-2019,158
25-08-2020,68
27-12-2020,162
02-02-2019,277
20-06-2019,135
16-02-2018,439
14-06-2019,427
28-08-2020,179
17-06-2020,91
26-07-2020,317
06-11-2020,201
25-01-2018,131
17-01-2019,346
24-01-2019,471
29-04-2018,230
17-09-2020,147
15-06-2018,239
06-04-2019,500
22-07-2019,264
09-09-2020,133
24-06-2018,52
20-12-2019,182
02-02-2018,393
02-05-2018,467
25-08-2020,184
05-03-2018,363
26-02-2020,193
06-04-2018,346
15-06-2018,68
20-06-2020,136
31-05-2020,95
27-08-2020,365
15-11-2020,185
04-11-2018,392
03-02-2018,414
30-12-2019,135
24-04-2018,341
25-11-2018,116
02-03-2020,225
10-04-2018,494
24-01-2018,426
10-12-2019,367
27-04-2019,348
15-01-2020,303
02-03-2018,249
28-07-2018,142
26-04-2019,336
18-12-2018,280
24-08-2018,263
07-08-2020,113
22-09-2020,145
30-08-2020,159
21-08-2018,399
23-03-2019,432
22-02-2018,408
30-10-2020,188
07-08-2019,337
02-05-2019,277
31-05-2019,196
24-01-2020,315
24-07-2019,264
21-01-2020,244
21-02-2018,358
22-09-2019,61
10-01-2020,220
25-09-2020,139
31-10-2020,173
19-06-2020,400
16-02-2020,412
07-09-2020,74
09-10-2018,260
10-03-2020,387
26-06-2019,270
05-02-2019,194
04-10-2020,148
04-12-2018,292
28-11-2020,252
29-06-2018,259
29-01-2018,485
22-02-2018,314
18-11-2018,420
25-03-2018,399
26-07-2020,252
04-11-2019,451
03-12-2020,338
21-09-2020,406
10-12-2018,459
01-04-2020,127
30-04-2020,99
10-02-2020,121
11-06-2020,396
25-05-2020,310
04-05-2020,337
16-01-2019,330
09-10-2018,65
09-03-2018,153
23-01-2018,164
04-08-2020,50
06-07-2018,63
26-04-2019,419
03-08-2018,257
14-12-2018,137
25-02-2019,189
20-12-2020,437
07-12-2019,325
19-10-2020,51
22-12-2020,379
25-03-2020,131
29-09-2018,487
02-08-2019,268
07-05-2018,285
18-02-2019,196
23-02-2018,65
13-02-2018,209
22-09-2019,384
31-08-2019,351
15-07-2020,193
07-02-2020,268
19-08-2020,176
30-12-2020,200
14-11-2019,318
14-04-2020,232
10-10-2020,131
14-08-2018,489
09-05-2020,394
06-05-2020,78
14-12-2020,387
10-05-2019,451
11-03-2018,400
21-03-2020,429
14-12-2018,386
26-11-2020,214
20-03-2020,56
20-01-2019,191
27-01-2018,55
06-03-2020,338
08-07-2020,57
10-06-2019,147
19-10-2020,173
24-06-2020,368
04-12-2020,433
10-07-2018,473
09-01-2019,279
12-07-2020,378
26-05-2019,428
22-12-2020,248
07-10-2020,263
30-11-2019,162
26-11-2020,74
01-10-2018,360
23-05-2019,370
08-03-2019,76
27-02-2020,253
19-07-2020,418
27-06-2019,137
09-10-2019,229
18-10-2019,457
06-02-2019,290
28-08-2018,403
07-11-2018,138
24-04-2018,417
24-08-2018,51
11-08-2019,382
03-09-2020,302
24-12-2019,471
30-03-2018,58
28-01-2019,384
14-02-2020,474
01-10-2018,468
27-07-2018,176
03-11-2020,220
25-09-2018,240
30-06-2019,216
25-07-2019,416
07-06-2019,230
28-09-2018,103
06-02-2020,365
26-11-2019,124
27-09-2020,95
28-11-2020,337
07-05-2018,103
16-08-2018,355
09-07-2018,63
29-01-2019,365
22-04-2018,268
19-08-2019,51
14-05-2019,248
11-08-2020,114
06-02-2020,83
13-10-2018,141
02-12-2018,383
26-11-2019,470
13-02-2019,299
12-05-2020,157
18-06-2019,458
17-01-2020,164
10-11-2019,371
03-06-2018,157
03-04-2018,486
23-02-2018,227
08-11-2019,270
11-07-2019,155
10-11-2019,284
15-05-2019,111
23-01-2019,447
19-02-2020,428
17-04-2020,320
06-08-2019,108
03-05-2020,314
27-07-2020,95
09-05-2018,200
14-08-2020,75
03-09-2019,72
06-05-2019,452
19-12-2019,172
12-04-2019,484
04-12-2019,274
18-01-2019,180
10-02-2020,454
05-03-2019,192
16-03-2018,442
09-03-2020,105
20-03-2018,333
02-01-2020,125
05-10-2020,56
17-08-2019,66
06-06-2019,350
09-07-2020,407
05-04-2020,246
20-01-2018,265
30-03-2018,490
27-09-2018,307
25-10-2020,87
14-06-2020,253
18-03-2018,440
02-03-2019,322
03-01-2019,315
10-11-2019,260
16-05-2018,98
19-10-2020,51
25-02-2019,237
15-04-2019,393
25-03-2020,408
11-11-2018,399
08-09-2020,234
23-12-2020,171
17-03-2020,450
30-03-2019,441
16-10-2020,298
07-05-2019,276
08-09-2018,109
10-04-2019,62
16-05-2020,354
16-05-2020,153
01-05-2018,175
20-05-2018,230
08-04-2018,354
03-03-2018,168
30-01-2018,129
06-03-2020,348
30-08-2019,106
07-04-2020,258
13-01-2018,378
04-09-2019,390
03-12-2020,55
16-03-2019,440
23-03-2020,357
13-08-2019,242
24-04-2018,266
28-08-2020,373
12-06-2019,336
09-01-2018,316
14-03-2019,231
07-04-2020,99
08-02-2020,254
10-06-2019,220
10-07-2019,487
24-04-2018,217
04-07-2020,378
30-01-2019,80
14-12-2018,401
13-12-2019,62
24-08-2018,142
30-08-2019,466
25-01-2019,367
21-01-2018,234
04-04-2018,250
21-11-2020,300
27-11-2018,185
19-01-2019,89
23-02-2019,218
26-11-2020,184
20-11-2019,466
11-05-2020,469
28-06-2019,440
14-12-2020,255
10-11-2020,77
23-01-2019,275
14-12-2020,247
22-11-2020,310
28-10-2019,396
21-01-2019,224
03-08-2018,412
15-04-2018,140
30-07-2018,139
28-03-2018,374
01-12-2018,473
25-10-2018,377
14-10-2018,108
26-03-2018,414
11-10-2019,222
16-12-2019,454
24-10-2018,269
16-08-2019,246
14-10-2019,216
12-11-2020,200
28-03-2020,388
13-05-2020,397
13-01-2019,244
31-12-2018,454
27-07-2020,302
23-12-2020,484
01-03-2019,234
05-02-2018,211
24-04-2019,56
30-03-2019,479
17-02-2020,108
04-11-2019,384
12-09-2020,308
01-11-2019,423
23-09-2020,343
30-05-2019,62
25-01-2020,270
06-12-2019,86
31-08-2020,94
27-06-2019,171
16-02-2018,154
04-05-2018,172
11-10-2019,303
05-07-2020,80
09-01-2018,486
24-04-2020,497
30-03-2018,453
21-06-2018,351
05-08-2019,458
08-12-2020,65
15-11-2019,420
07-09-2018,97
29-07-2020,394
25-08-2020,450
19-05-2020,125
08-01-2020,461
06-06-2020,266
03-10-2018,69
11-04-2018,238
23-09-2018,274
14-10-2018,165
07-08-2019,195
20-11-2020,447
02-11-2020,324
09-10-2018,238
01-02-2020,232
17-07-2019,126
12-10-2020,211
13-12-2019,152
04-11-2018,424
26-10-2019,220
06-11-2020,305
11-10-2019,162
26-11-2019,494
09-04-2019,434
27-10-2020,196
01-04-2019,377
10-12-2018,246
26-02-2020,110
08-10-2018,349
19-01-2020,385
23-06-2019,117
03-10-2020,412
06-03-2020,372
17-12-2019,495
24-03-2018,77
19-07-2020,171
10-10-2020,335
16-05-2018,361
20-12-2020,275
27-05-2020,495
24-03-2020,394
09-11-2020,470
18-06-2018,181
23-05-2018,75
02-11-2018,422
20-03-2019,474
19-07-2020,86
17-01-2020,266
25-07-2020,323
09-05-2018,167
11-03-2020,255
20-08-2019,267
04-09-2019,346
19-10-2020,497
05-10-2019,178
19-03-2020,278
13-04-2020,376
23-08-2019,461
25-06-2018,436
11-08-2018,138
07-08-2020,130
19-04-2018,84
15-05-2019,283
24-07-2018,75
21-02-2018,420
05-02-2018,440
12-10-2020,462
22-09-2020,416
15-03-2019,466
01-10-2020,328
12-09-2019,490
13-07-2020,95
18-04-2018,425
01-05-2018,383
14-01-2020,250
03-05-2020,305
12-07-2019,188
17-11-2018,172
14-04-2019,89
30-09-2020,66
29-10-2020,50
25-11-2018,267
25-08-2020,496
13-08-2019,379
29-08-2018,59
11-05-2019,400
18-04-2020,285
22-12-2018,73
06-07-2019,409
16-03-2020,133
13-06-2020,55
01-07-2020,206
08-05-2018,131
22-05-2019,50
21-05-2020,391
12-07-2018,74
18-06-2018,108
22-08-2019,249
18-05-2019,402
07-06-2020,422
07-02-2018,442
31-05-2018,273
06-11-2018,93
03-08-2020,238
26-07-2019,332
17-11-2018,196
18-12-2020,487
03-07-2018,487
17-01-2020,267
13-12-2018,67
01-07-2018,208
23-12-2018,79
22-10-2018,232
05-01-2019,315
31-03-2018,273
20-07-2018,87
23-05-2020,370
11-01-2018,117
19-09-2018,272
14-11-2019,444
04-04-2018,256
23-11-2018,310
08-05-2019,383
17-02-2020,403
03-12-2018,83
